id,id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Elem_School_District,Hightest_Rated_School
54,2063,335000,4509 N 27TH DR,85017,Closed,6361338,NORTHWEST VILLAGE 1,1952,3,2.0,1210.0,4.1,Alhambra,100.04
55,2086,358000,3416 W Turney AVE,85017,Closed,6370839,Lynnhaven,1954,3,1.75,1412.0,4.1,Alhambra,100.04
56,2251,320000,3426 W ELM ST,85017,Closed,6372274,NORTHWEST VILLAGE 6,1955,3,2.0,1578.0,4.1,Alhambra,100.04
57,2252,370000,5630 N 30TH DR,85017,Closed,6354625,Maryvale Park,1952,3,1.5,1520.9,4.1,Alhambra,100.04
58,2257,430000,2836 W LAMAR RD,85017,Closed,6358135,LAMAR PLACE,1999,4,3.0,2242.0,4.1,Alhambra,100.04
59,2295,372000,4713 N 31ST DR,85017,Closed,6363989,NORTHWEST VILLAGE 5,1954,4,2.5,1900.0,4.1,Alhambra,100.04
60,2300,330000,4564 N 29TH AVE,85017,Closed,6355983,NORTHWEST VILLAGE 2,1953,3,1.5,1417.0,4.1,Alhambra,100.04
61,2,400000,5109 E THOMAS RD,85018,Active,6243667,PAPAGO VILLAGE,1943,0,0.0,1358.0,2.2,Creighton,75.8
62,56,995000,3215 E ORANGE DR,85018,UCB (Under Contract-Backups),6379106,BILTMORE CIRCLE,1960,3,2.0,1474.0,2.2,Creighton,75.8
63,148,799900,3523 N 35th ST,85018,Active,6394983,POMELO PARK ANNEX,1951,3,2.0,1895.0,2.2,Creighton,75.8
64,252,974900,3428 E CAMPBELL AVE,85018,Active,6370621,CASA MARBELLA AMD,1969,3,2.0,2038.0,2.2,Creighton,75.8
65,267,985000,3526 E HAZELWOOD ST,85018,Active,6389430,CHESTLEY TERRACE,1952,5,2.0,2548.0,2.2,Creighton,75.8
66,293,925000,4308 E PINCHOT AVE,85018,Active,6393185,RANCHO VENTURA TR 16,1953,4,2.75,2415.0,2.2,Creighton,75.8
67,294,549999,3541 E CHEERY LYNN RD,85018,Active,6388906,PARK VISTA,1950,3,2.0,1370.0,2.2,Creighton,75.8
68,356,775000,5302 E THOMAS RD,85018,Active,6393919,SHERWOOD TOWNE TRACT A,1954,4,2.0,1554.0,2.2,Creighton,75.8
69,370,750000,3102 N 35TH ST,85018,Active,6393850,PARK VISTA,1950,4,2.0,1688.0,2.2,Creighton,75.8
70,409,775000,3751 E CLARENDON AVE,85018,Active,6388092,Suncrest Estates,1952,3,2.0,2120.0,2.2,Creighton,75.8
71,418,750000,4307 E MONTECITO AVE,85018,UCB (Under Contract-Backups),6391105,ORANGE GROVE HEIGHTS,1955,3,2.0,1452.0,2.2,Creighton,75.8
72,446,999900,3217 E FLOWER ST,85018,Active,6362310,VALENCIA ACRES,1962,4,3.5,2318.0,2.2,Creighton,75.8
73,493,849988,3624 N 39TH ST,85018,Active,6392081,SUNCREST MANOR LOT 33-45,1954,3,2.5,1609.0,2.2,Creighton,75.8
74,501,899000,3336 E EARLL DR,85018,Active,6379091,SUNRAY ESTATES,1960,4,3.0,2500.0,2.2,Creighton,75.8
75,576,660000,4028 E AVALON DR,85018,UCB (Under Contract-Backups),6389175,RANCHO VENTURA TR 11,1952,3,2.0,1374.0,2.2,Creighton,75.8
76,600,805000,4320 E PINCHOT AVE,85018,UCB (Under Contract-Backups),6374743,RANCHO VENTURA TR 16,1953,3,2.0,1436.0,2.2,Creighton,75.8
77,819,699000,4116 N 42ND PL,85018,UCB (Under Contract-Backups),6376013,ORANGE DELL,1950,2,1.0,1007.0,2.2,Creighton,75.8
78,906,730000,4109 E CATALINA DR,85018,Active,6339748,RANCHO VENTURA TR 18,1954,3,2.0,1656.0,2.2,Creighton,75.8
79,1106,830000,4642 N 40TH ST,85018,Closed,6364701,BRIDGEWOOD NORTH 40,1973,3,2.0,1837.0,2.2,Creighton,75.8
80,1180,865000,3402 E INDIANOLA AVE,85018,Closed,6373409,WILSHIRE TERRACE,1958,4,3.0,2031.0,2.2,Creighton,75.8
81,1284,720000,4237 N 35TH PL,85018,Closed,6376920,PALMS PARKWAY 2,1953,4,2.0,1643.0,2.2,Creighton,75.8
82,1360,580000,3308 E CLARENDON AVE,85018,Closed,6384004,MARSHALL PARKWAY,1950,2,1.0,1292.0,2.2,Creighton,75.8
83,1409,800000,4145 N 42ND PL,85018,Closed,6349013,ORANGE DELL,1950,2,1.0,888.0,2.2,Creighton,75.8
84,1457,865000,5129 E PINCHOT AVE,85018,Closed,6368716,SHERWOOD VISTA,1959,4,2.75,2062.0,2.2,Creighton,75.8
